sample,donor,condition,batch,cell_type,timepoint,cell_id
S01,D01,control,B1,Endothelial,,synthetic_00096
S01,D01,control,B1,Endothelial,,synthetic_00097
S01,D01,control,B1,Endothelial,,synthetic_00098
S01,D01,control,B1,Endothelial,,synthetic_00099
S01,D01,control,B1,Endothelial,,synthetic_00100
S01,D01,control,B1,Endothelial,,synthetic_00101
S01,D01,control,B1,Endothelial,,synthetic_00102
S01,D01,control,B1,Endothelial,,synthetic_00103
S01,D01,control,B1,Endothelial,,synthetic_00104
S01,D01,control,B1,Endothelial,,synthetic_00105
S01,D01,control,B1,Endothelial,,synthetic_00106
S01,D01,control,B1,Endothelial,,synthetic_00107
S01,D01,control,B1,Endothelial,,synthetic_00108
S01,D01,control,B1,Endothelial,,synthetic_00109
S01,D01,control,B1,Endothelial,,synthetic_00110
S01,D01,control,B1,Endothelial,,synthetic_00111
S01,D01,control,B1,Endothelial,,synthetic_00112
S01,D01,control,B1,Endothelial,,synthetic_00113
S01,D01,control,B1,Endothelial,,synthetic_00114
S01,D01,control,B1,Endothelial,,synthetic_00115
S01,D01,control,B1,Endothelial,,synthetic_00116
S01,D01,control,B1,Endothelial,,synthetic_00117
S01,D01,control,B1,Endothelial,,synthetic_00118
S01,D01,control,B1,Endothelial,,synthetic_00119
S01,D01,control,B1,Endothelial,,synthetic_00120
S02,D02,control,B2,Hepatocyte,,synthetic_00121
S02,D02,control,B2,Hepatocyte,,synthetic_00122
S02,D02,control,B2,Hepatocyte,,synthetic_00123
S02,D02,control,B2,Hepatocyte,,synthetic_00124
S02,D02,control,B2,Hepatocyte,,synthetic_00125
S02,D02,control,B2,Hepatocyte,,synthetic_00126
S02,D02,control,B2,Hepatocyte,,synthetic_00127
S02,D02,control,B2,Hepatocyte,,synthetic_00128
S02,D02,control,B2,Hepatocyte,,synthetic_00129
S02,D02,control,B2,Hepatocyte,,synthetic_00130
S02,D02,control,B2,Hepatocyte,,synthetic_00131
S02,D02,control,B2,Hepatocyte,,synthetic_00132
S02,D02,control,B2,Hepatocyte,,synthetic_00133
S02,D02,control,B2,Hepatocyte,,synthetic_00134
S02,D02,control,B2,Hepatocyte,,synthetic_00135
S02,D02,control,B2,Hepatocyte,,synthetic_00136
S02,D02,control,B2,Hepatocyte,,synthetic_00137
S02,D02,control,B2,Hepatocyte,,synthetic_00138
S02,D02,control,B2,Hepatocyte,,synthetic_00139
S02,D02,control,B2,Hepatocyte,,synthetic_00140
S02,D02,control,B2,Hepatocyte,,synthetic_00141
S02,D02,control,B2,Hepatocyte,,synthetic_00142
S02,D02,control,B2,Hepatocyte,,synthetic_00143
S02,D02,control,B2,Hepatocyte,,synthetic_00144
S02,D02,control,B2,Hepatocyte,,synthetic_00145
S02,D02,control,B2,Hepatocyte,,synthetic_00146
S02,D02,control,B2,Hepatocyte,,synthetic_00147
S02,D02,control,B2,Hepatocyte,,synthetic_00148
S02,D02,control,B2,Hepatocyte,,synthetic_00149
S02,D02,control,B2,Hepatocyte,,synthetic_00150
S02,D02,control,B2,Hepatocyte,,synthetic_00151
S02,D02,control,B2,Hepatocyte,,synthetic_00152
S02,D02,control,B2,Hepatocyte,,synthetic_00153
S02,D02,control,B2,Hepatocyte,,synthetic_00154
S02,D02,control,B2,Hepatocyte,,synthetic_00155
S02,D02,control,B2,Hepatocyte,,synthetic_00156
S02,D02,control,B2,Hepatocyte,,synthetic_00157
S02,D02,control,B2,Hepatocyte,,synthetic_00158
S02,D02,control,B2,Hepatocyte,,synthetic_00159
S02,D02,control,B2,Hepatocyte,,synthetic_00160
S02,D02,control,B2,Kupffer,,synthetic_00161
S02,D02,control,B2,Kupffer,,synthetic_00162
S02,D02,control,B2,Kupffer,,synthetic_00163
S02,D02,control,B2,Kupffer,,synthetic_00164
S02,D02,control,B2,Kupffer,,synthetic_00165
S02,D02,control,B2,Kupffer,,synthetic_00166
S02,D02,control,B2,Kupffer,,synthetic_00167
S02,D02,control,B2,Kupffer,,synthetic_00168
S02,D02,control,B2,Kupffer,,synthetic_00169
S02,D02,control,B2,Kupffer,,synthetic_00170
S02,D02,control,B2,Kupffer,,synthetic_00171
S02,D02,control,B2,Kupffer,,synthetic_00172
S02,D02,control,B2,Kupffer,,synthetic_00173
S02,D02,control,B2,Kupffer,,synthetic_00174
S02,D02,control,B2,Kupffer,,synthetic_00175
S02,D02,control,B2,Kupffer,,synthetic_00176
S02,D02,control,B2,Kupffer,,synthetic_00177
S02,D02,control,B2,Kupffer,,synthetic_00178
S02,D02,control,B2,Kupffer,,synthetic_00179
S02,D02,control,B2,Kupffer,,synthetic_00180
S02,D02,control,B2,Kupffer,,synthetic_00181
S02,D02,control,B2,Kupffer,,synthetic_00182
S02,D02,control,B2,Kupffer,,synthetic_00183
S02,D02,control,B2,Kupffer,,synthetic_00184
S02,D02,control,B2,Kupffer,,synthetic_00185
S02,D02,control,B2,Kupffer,,synthetic_00186
S02,D02,control,B2,Kupffer,,synthetic_00187
S02,D02,control,B2,Kupffer,,synthetic_00188
S02,D02,control,B2,Kupffer,,synthetic_00189
S02,D02,control,B2,Kupffer,,synthetic_00190
S02,D02,control,B2,Kupffer,,synthetic_00191
S02,D02,control,B2,Kupffer,,synthetic_00192
S02,D02,control,B2,Kupffer,,synthetic_00193
S02,D02,control,B2,Kupffer,,synthetic_00194
S02,D02,control,B2,Kupffer,,synthetic_00195
S02,D02,control,B2,Kupffer,,synthetic_00196
S02,D02,control,B2,Kupffer,,synthetic_00197
S02,D02,control,B2,Kupffer,,synthetic_00198
S02,D02,control,B2,Kupffer,,synthetic_00199
S02,D02,control,B2,Kupffer,,synthetic_00200
S02,D02,control,B2,Endothelial,,synthetic_00201
S02,D02,control,B2,Endothelial,,synthetic_00202
S02,D02,control,B2,Endothelial,,synthetic_00203
S02,D02,control,B2,Endothelial,,synthetic_00204
S02,D02,control,B2,Endothelial,,synthetic_00205
S02,D02,control,B2,Endothelial,,synthetic_00206
S02,D02,control,B2,Endothelial,,synthetic_00207
S02,D02,control,B2,Endothelial,,synthetic_00208
S02,D02,control,B2,Endothelial,,synthetic_00209
S02,D02,control,B2,Endothelial,,synthetic_00210
S02,D02,control,B2,Endothelial,,synthetic_00211
S02,D02,control,B2,Endothelial,,synthetic_00212
S02,D02,control,B2,Endothelial,,synthetic_00213
S02,D02,control,B2,Endothelial,,synthetic_00214
S02,D02,control,B2,Endothelial,,synthetic_00215
S02,D02,control,B2,Endothelial,,synthetic_00216
S02,D02,control,B2,Endothelial,,synthetic_00217
S02,D02,control,B2,Endothelial,,synthetic_00218
S02,D02,control,B2,Endothelial,,synthetic_00219
S02,D02,control,B2,Endothelial,,synthetic_00220
S02,D02,control,B2,Endothelial,,synthetic_00221
S02,D02,control,B2,Endothelial,,synthetic_00222
S02,D02,control,B2,Endothelial,,synthetic_00223
S02,D02,control,B2,Endothelial,,synthetic_00224
S02,D02,control,B2,Endothelial,,synthetic_00225
S02,D02,control,B2,Endothelial,,synthetic_00226
S02,D02,control,B2,Endothelial,,synthetic_00227
S02,D02,control,B2,Endothelial,,synthetic_00228
S02,D02,control,B2,Endothelial,,synthetic_00229
S02,D02,control,B2,Endothelial,,synthetic_00230
S02,D02,control,B2,Endothelial,,synthetic_00231
S02,D02,control,B2,Endothelial,,synthetic_00232
S02,D02,control,B2,Endothelial,,synthetic_00233
S02,D02,control,B2,Endothelial,,synthetic_00234
S02,D02,control,B2,Endothelial,,synthetic_00235
S02,D02,control,B2,Endothelial,,synthetic_00236
S02,D02,control,B2,Endothelial,,synthetic_00237
S02,D02,control,B2,Endothelial,,synthetic_00238
S02,D02,control,B2,Endothelial,,synthetic_00239
S02,D02,control,B2,Endothelial,,synthetic_00240
S03,D03,control,B1,Hepatocyte,,synthetic_00241
S03,D03,control,B1,Hepatocyte,,synthetic_00242
S03,D03,control,B1,Hepatocyte,,synthetic_00243
S03,D03,control,B1,Hepatocyte,,synthetic_00244
S03,D03,control,B1,Hepatocyte,,synthetic_00245
S03,D03,control,B1,Hepatocyte,,synthetic_00246
S03,D03,control,B1,Hepatocyte,,synthetic_00247
S03,D03,control,B1,Hepatocyte,,synthetic_00248
S03,D03,control,B1,Hepatocyte,,synthetic_00249
S03,D03,control,B1,Hepatocyte,,synthetic_00250
S03,D03,control,B1,Hepatocyte,,synthetic_00251
S03,D03,control,B1,Hepatocyte,,synthetic_00252
S03,D03,control,B1,Hepatocyte,,synthetic_00253
S03,D03,control,B1,Hepatocyte,,synthetic_00254
S03,D03,control,B1,Hepatocyte,,synthetic_00255
S03,D03,control,B1,Hepatocyte,,synthetic_00256
S03,D03,control,B1,Hepatocyte,,synthetic_00257
S03,D03,control,B1,Hepatocyte,,synthetic_00258
S03,D03,control,B1,Hepatocyte,,synthetic_00259
S03,D03,control,B1,Hepatocyte,,synthetic_00260
S03,D03,control,B1,Hepatocyte,,synthetic_00261
S03,D03,control,B1,Hepatocyte,,synthetic_00262
S03,D03,control,B1,Hepatocyte,,synthetic_00263
S03,D03,control,B1,Hepatocyte,,synthetic_00264
S03,D03,control,B1,Hepatocyte,,synthetic_00265
S03,D03,control,B1,Hepatocyte,,synthetic_00266
S03,D03,control,B1,Hepatocyte,,synthetic_00267
S03,D03,control,B1,Hepatocyte,,synthetic_00268
S03,D03,control,B1,Hepatocyte,,synthetic_00269
S03,D03,control,B1,Hepatocyte,,synthetic_00270
S03,D03,control,B1,Hepatocyte,,synthetic_00271
S03,D03,control,B1,Hepatocyte,,synthetic_00272
S03,D03,control,B1,Hepatocyte,,synthetic_00273
S03,D03,control,B1,Hepatocyte,,synthetic_00274
S03,D03,control,B1,Hepatocyte,,synthetic_00275
S03,D03,control,B1,Hepatocyte,,synthetic_00276
S03,D03,control,B1,Hepatocyte,,synthetic_00277
S03,D03,control,B1,Hepatocyte,,synthetic_00278
S03,D03,control,B1,Hepatocyte,,synthetic_00279
S03,D03,control,B1,Hepatocyte,,synthetic_00280
S03,D03,control,B1,Kupffer,,synthetic_00281
S03,D03,control,B1,Kupffer,,synthetic_00282
S03,D03,control,B1,Kupffer,,synthetic_00283
S03,D03,control,B1,Kupffer,,synthetic_00284
S03,D03,control,B1,Kupffer,,synthetic_00285
S03,D03,control,B1,Kupffer,,synthetic_00286
S03,D03,control,B1,Kupffer,,synthetic_00287
S03,D03,control,B1,Kupffer,,synthetic_00288
S03,D03,control,B1,Kupffer,,synthetic_00289
S03,D03,control,B1,Kupffer,,synthetic_00290
S03,D03,control,B1,Kupffer,,synthetic_00291
S03,D03,control,B1,Kupffer,,synthetic_00292
S03,D03,control,B1,Kupffer,,synthetic_00293
S03,D03,control,B1,Kupffer,,synthetic_00294
S03,D03,control,B1,Kupffer,,synthetic_00295
S03,D03,control,B1,Kupffer,,synthetic_00296
S03,D03,control,B1,Kupffer,,synthetic_00297
S03,D03,control,B1,Kupffer,,synthetic_00298
S03,D03,control,B1,Kupffer,,synthetic_00299
S03,D03,control,B1,Kupffer,,synthetic_00300
S03,D03,control,B1,Kupffer,,synthetic_00301
S03,D03,control,B1,Kupffer,,synthetic_00302
S03,D03,control,B1,Kupffer,,synthetic_00303
S03,D03,control,B1,Kupffer,,synthetic_00304
S03,D03,control,B1,Kupffer,,synthetic_00305
S03,D03,control,B1,Kupffer,,synthetic_00306
S03,D03,control,B1,Kupffer,,synthetic_00307
S03,D03,control,B1,Kupffer,,synthetic_00308
S03,D03,control,B1,Kupffer,,synthetic_00309
S03,D03,control,B1,Kupffer,,synthetic_00310
S03,D03,control,B1,Kupffer,,synthetic_00311
S03,D03,control,B1,Kupffer,,synthetic_00312
S03,D03,control,B1,Kupffer,,synthetic_00313
S03,D03,control,B1,Kupffer,,synthetic_00314
S03,D03,control,B1,Kupffer,,synthetic_00315
S03,D03,control,B1,Kupffer,,synthetic_00316
S03,D03,control,B1,Kupffer,,synthetic_00317
S03,D03,control,B1,Kupffer,,synthetic_00318
S03,D03,control,B1,Kupffer,,synthetic_00319
S03,D03,control,B1,Kupffer,,synthetic_00320
S03,D03,control,B1,Endothelial,,synthetic_00321
S03,D03,control,B1,Endothelial,,synthetic_00322
S03,D03,control,B1,Endothelial,,synthetic_00323
S03,D03,control,B1,Endothelial,,synthetic_00324
S03,D03,control,B1,Endothelial,,synthetic_00325
S03,D03,control,B1,Endothelial,,synthetic_00326
S03,D03,control,B1,Endothelial,,synthetic_00327
S03,D03,control,B1,Endothelial,,synthetic_00328
S03,D03,control,B1,Endothelial,,synthetic_00329
S03,D03,control,B1,Endothelial,,synthetic_00330
S03,D03,control,B1,Endothelial,,synthetic_00331
S03,D03,control,B1,Endothelial,,synthetic_00332
S03,D03,control,B1,Endothelial,,synthetic_00333
S03,D03,control,B1,Endothelial,,synthetic_00334
S03,D03,control,B1,Endothelial,,synthetic_00335
S03,D03,control,B1,Endothelial,,synthetic_00336
S03,D03,control,B1,Endothelial,,synthetic_00337
S03,D03,control,B1,Endothelial,,synthetic_00338
S03,D03,control,B1,Endothelial,,synthetic_00339
S03,D03,control,B1,Endothelial,,synthetic_00340
S03,D03,control,B1,Endothelial,,synthetic_00341
S03,D03,control,B1,Endothelial,,synthetic_00342
S03,D03,control,B1,Endothelial,,synthetic_00343
S03,D03,control,B1,Endothelial,,synthetic_00344
S03,D03,control,B1,Endothelial,,synthetic_00345
S03,D03,control,B1,Endothelial,,synthetic_00346
S03,D03,control,B1,Endothelial,,synthetic_00347
S03,D03,control,B1,Endothelial,,synthetic_00348
S03,D03,control,B1,Endothelial,,synthetic_00349
S03,D03,control,B1,Endothelial,,synthetic_00350
S03,D03,control,B1,Endothelial,,synthetic_00351
S03,D03,control,B1,Endothelial,,synthetic_00352
S03,D03,control,B1,Endothelial,,synthetic_00353
S03,D03,control,B1,Endothelial,,synthetic_00354
S03,D03,control,B1,Endothelial,,synthetic_00355
S03,D03,control,B1,Endothelial,,synthetic_00356
S03,D03,control,B1,Endothelial,,synthetic_00357
S03,D03,control,B1,Endothelial,,synthetic_00358
S03,D03,control,B1,Endothelial,,synthetic_00359
S03,D03,control,B1,Endothelial,,synthetic_00360
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00361
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00362
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00363
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00364
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00365
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00366
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00367
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00368
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00369
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00370
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00371
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00372
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00373
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00374
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00375
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00376
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00377
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00378
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00379
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00380
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00381
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00382
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00383
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00384
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00385
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00386
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00387
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00388
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00389
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00390
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00391
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00392
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00393
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00394
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00395
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00396
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00397
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00398
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00399
S04,D04,regeneration,B1,Hepatocyte,,synthetic_00400
S04,D04,regeneration,B1,Kupffer,,synthetic_00401
S04,D04,regeneration,B1,Kupffer,,synthetic_00402
S04,D04,regeneration,B1,Kupffer,,synthetic_00403
S04,D04,regeneration,B1,Kupffer,,synthetic_00404
S04,D04,regeneration,B1,Kupffer,,synthetic_00405
S04,D04,regeneration,B1,Kupffer,,synthetic_00406
S04,D04,regeneration,B1,Kupffer,,synthetic_00407
S04,D04,regeneration,B1,Kupffer,,synthetic_00408
S04,D04,regeneration,B1,Kupffer,,synthetic_00409
S04,D04,regeneration,B1,Kupffer,,synthetic_00410
S04,D04,regeneration,B1,Kupffer,,synthetic_00411
S04,D04,regeneration,B1,Kupffer,,synthetic_00412
S04,D04,regeneration,B1,Kupffer,,synthetic_00413
S04,D04,regeneration,B1,Kupffer,,synthetic_00414
S04,D04,regeneration,B1,Kupffer,,synthetic_00415
S04,D04,regeneration,B1,Kupffer,,synthetic_00416
S04,D04,regeneration,B1,Kupffer,,synthetic_00417
S04,D04,regeneration,B1,Kupffer,,synthetic_00418
S04,D04,regeneration,B1,Kupffer,,synthetic_00419
S04,D04,regeneration,B1,Kupffer,,synthetic_00420
S04,D04,regeneration,B1,Kupffer,,synthetic_00421
S04,D04,regeneration,B1,Kupffer,,synthetic_00422
S04,D04,regeneration,B1,Kupffer,,synthetic_00423
S04,D04,regeneration,B1,Kupffer,,synthetic_00424
S04,D04,regeneration,B1,Kupffer,,synthetic_00425
S04,D04,regeneration,B1,Kupffer,,synthetic_00426
S04,D04,regeneration,B1,Kupffer,,synthetic_00427
S04,D04,regeneration,B1,Kupffer,,synthetic_00428
S04,D04,regeneration,B1,Kupffer,,synthetic_00429
S04,D04,regeneration,B1,Kupffer,,synthetic_00430
S04,D04,regeneration,B1,Kupffer,,synthetic_00431
S04,D04,regeneration,B1,Kupffer,,synthetic_00432
S04,D04,regeneration,B1,Kupffer,,synthetic_00433
S04,D04,regeneration,B1,Kupffer,,synthetic_00434
S04,D04,regeneration,B1,Kupffer,,synthetic_00435
S04,D04,regeneration,B1,Kupffer,,synthetic_00436
S04,D04,regeneration,B1,Kupffer,,synthetic_00437
S04,D04,regeneration,B1,Kupffer,,synthetic_00438
S04,D04,regeneration,B1,Kupffer,,synthetic_00439
S04,D04,regeneration,B1,Kupffer,,synthetic_00440
S04,D04,regeneration,B1,Endothelial,,synthetic_00441
S04,D04,regeneration,B1,Endothelial,,synthetic_00442
S04,D04,regeneration,B1,Endothelial,,synthetic_00443
S04,D04,regeneration,B1,Endothelial,,synthetic_00444
S04,D04,regeneration,B1,Endothelial,,synthetic_00445
S04,D04,regeneration,B1,Endothelial,,synthetic_00446
S04,D04,regeneration,B1,Endothelial,,synthetic_00447
S04,D04,regeneration,B1,Endothelial,,synthetic_00448
S04,D04,regeneration,B1,Endothelial,,synthetic_00449
S04,D04,regeneration,B1,Endothelial,,synthetic_00450
S04,D04,regeneration,B1,Endothelial,,synthetic_00451
S04,D04,regeneration,B1,Endothelial,,synthetic_00452
S04,D04,regeneration,B1,Endothelial,,synthetic_00453
S04,D04,regeneration,B1,Endothelial,,synthetic_00454
S04,D04,regeneration,B1,Endothelial,,synthetic_00455
S04,D04,regeneration,B1,Endothelial,,synthetic_00456
S04,D04,regeneration,B1,Endothelial,,synthetic_00457
S04,D04,regeneration,B1,Endothelial,,synthetic_00458
S04,D04,regeneration,B1,Endothelial,,synthetic_00459
S04,D04,regeneration,B1,Endothelial,,synthetic_00460
S04,D04,regeneration,B1,Endothelial,,synthetic_00461
S04,D04,regeneration,B1,Endothelial,,synthetic_00462
S04,D04,regeneration,B1,Endothelial,,synthetic_00463
S04,D04,regeneration,B1,Endothelial,,synthetic_00464
S04,D04,regeneration,B1,Endothelial,,synthetic_00465
S04,D04,regeneration,B1,Endothelial,,synthetic_00466
S04,D04,regeneration,B1,Endothelial,,synthetic_00467
S04,D04,regeneration,B1,Endothelial,,synthetic_00468
S04,D04,regeneration,B1,Endothelial,,synthetic_00469
S04,D04,regeneration,B1,Endothelial,,synthetic_00470
S04,D04,regeneration,B1,Endothelial,,synthetic_00471
S04,D04,regeneration,B1,Endothelial,,synthetic_00472
S04,D04,regeneration,B1,Endothelial,,synthetic_00473
S04,D04,regeneration,B1,Endothelial,,synthetic_00474
S04,D04,regeneration,B1,Endothelial,,synthetic_00475
S04,D04,regeneration,B1,Endothelial,,synthetic_00476
S04,D04,regeneration,B1,Endothelial,,synthetic_00477
S04,D04,regeneration,B1,Endothelial,,synthetic_00478
S04,D04,regeneration,B1,Endothelial,,synthetic_00479
S04,D04,regeneration,B1,Endothelial,,synthetic_00480
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00481
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00482
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00483
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00484
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00485
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00486
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00487
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00488
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00489
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00490
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00491
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00492
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00493
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00494
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00495
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00496
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00497
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00498
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00499
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00500
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00501
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00502
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00503
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00504
S05,D05,regeneration,B2,Hepatocyte,,synthetic_00505
